City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
463,north bend,43.4065,-124.2243,14.4,44,0,5.14,US,1675987198
464,yerbogachen,61.2767,108.0108,-23.58,99,100,0.98,RU,1675987198
465,bojonegoro,-7.1502,111.8817,25.1,89,99,1.93,ID,1675987198
466,selma,36.5708,-119.6121,20.51,52,0,0.0,US,1675987199
467,yeppoon,-23.1333,150.7333,28.88,60,72,4.58,AU,1675987199
468,ayaviri,-14.8864,-70.5889,7.21,87,63,1.72,PE,1675987200
469,frontera,26.9333,-101.45,24.07,27,74,1.34,MX,1675987200
470,mazzarino,37.3043,14.2141,6.78,97,100,12.97,IT,1675987201
471,darnah,32.766999999999996,22.6367,12.05,80,99,9.4,LY,1675987201
472,mangrol,21.1167,70.1167,20.43,67,46,3.29,IN,1675987203
473,redwater,33.3582,-94.2544,14.95,67,34,1.73,US,1675987206
474,mount isa,-20.7333,139.5,28.87,51,2,5.66,AU,1675987213
475,butterworth,5.3991,100.3638,27.02,94,20,1.54,MY,1675987227
476,faya,18.3851,42.4509,13.06,75,20,1.32,SA,1675987238
477,ormstown,45.1334,-73.9992,2.05,99,100,4.78,CA,1675987248
478,ngunguru,-35.6167,174.5,19.61,57,53,3.9,NZ,1675987250
479,tigil,57.8,158.6667,-15.72,94,82,1.42,RU,1675987250
480,tahta,26.7693,31.5021,13.51,28,100,3.42,EG,1675987251
481,quesnel,52.9999,-122.5029,6.28,56,40,11.32,CA,1675987251
482,mazagao,-0.115,-51.2894,26.03,94,94,2.04,BR,1675987251
483,pavilosta,56.8879,21.1859,2.95,85,97,12.4,LV,1675987252
484,synya,65.3718,58.0387,-2.66,95,100,5.07,RU,1675987252
485,hamilton,39.1834,-84.5333,9.97,70,100,13.89,US,1675986977
486,toora-khem,52.4675,96.11,-24.37,100,97,0.26,RU,1675987253
487,naze,28.3667,129.4833,18.51,90,100,11.1,JP,1675987237
488,lata,40.1629,-8.3327,4.95,77,0,2.64,PT,1675987254
489,moerai,-22.4333,-151.3333,26.33,72,75,3.26,PF,1675987255
490,acapulco,16.8634,-99.8901,27.69,60,33,4.03,MX,1675987230
491,bandar-e lengeh,26.5579,54.8807,16.56,42,100,9.32,IR,1675987255
492,bauchi,10.5,10.0,20.08,17,82,2.58,NG,1675987256
493,concepcion,-36.827,-73.0498,20.89,64,0,8.23,CL,1675987097
494,calama,-22.4667,-68.9333,21.27,37,40,10.8,CL,1675987256
495,tura,25.5198,90.2201,13.7,63,0,1.3,IN,1675987257
496,mitzic,0.7821,11.549000000000001,21.7,89,82,1.82,GA,1675987257
497,cabedelo,-6.9811,-34.8339,26.37,80,9,5.63,BR,1675987257
498,kirkwall,58.9848,-2.9587,5.54,87,75,3.6,GB,1675987258
499,ballina,-28.8667,153.5667,26.12,72,29,4.46,AU,1675987259
500,banyo,6.75,11.8167,20.2,24,44,1.03,CM,1675987259
501,santa vitoria,-18.8386,-50.1214,23.79,83,31,2.14,BR,1675987259
502,vila velha,-20.3297,-40.2925,25.97,89,0,4.12,BR,1675987260
503,tautira,-17.7333,-149.15,27.11,75,23,5.17,PF,1675987260
504,chernyshevskiy,63.0128,112.4714,-30.36,98,100,1.97,RU,1675987261
505,yar-sale,66.8333,70.8333,-9.8,90,100,7.75,RU,1675987261
506,mpwapwa,-6.35,36.4833,18.32,94,93,0.59,TZ,1675987262
